Plot,Block,Side,Crop,Crop_ID,Corn_weed_management,AMATA_number,AMATA_gram,sample_area_m_sq,g_m_sq,plant_m_sq,Year,Rotation,Total,Female,Male,F_prop
11,1,W,soybean,S3,conv,5,119.21,18.532,6.432657026,0.269803583,2018,3-year,100,36,64,0.36
11,1,E,soybean,S3,low,0,0,18.532,0,0,2018,3-year,99,39,60,0.393939394
12,1,W,alfalfa,A4,conv,9,1.04,2,0.52,4.5,2018,4-year,37,29,8,0.783783784
12,1,E,alfalfa,A4,low,3,0.01,2,0.005,1.5,2018,4-year,8,7,1,0.875
13,1,W,corn,C2,low,15,30.91,18.532,1.66792575,0.809410749,2018,2-year,98,53,45,0.540816327
13,1,E,corn,C2,conv,1,0.37,18.532,0.019965465,0.053960717,2018,2-year,100,61,39,0.61
14,1,W,soybean,S4,low,7,267.03,18.532,14.40913015,0.377725016,2018,4-year,103,46,57,0.446601942
14,1,E,soybean,S4,conv,6,57.37,18.532,3.095726311,0.3237643,2018,4-year,106,61,45,0.575471698
15,1,W,corn,C3,conv,1,8.46,18.532,0.456507662,0.053960717,2018,3-year,9,7,2,0.777777778
15,1,E,corn,C3,low,0,0,18.532,0,0,2018,3-year,20,17,3,0.85
16,1,W,oat,O3,conv,39,33.77,2,16.885,19.5,2018,3-year,100,74,26,0.74
16,1,E,oat,O3,low,97,70.73,2,35.365,48.5,2018,3-year,100,77,23,0.77
17,1,W,oat,O4,low,64,122.38,2,61.19,32,2018,4-year,100,82,18,0.82
17,1,E,oat,O4,conv,17,83.33,2,41.665,8.5,2018,4-year,102,81,21,0.794117647
18,1,W,corn,C4,low,5,0.2,18.532,0.010792143,0.269803583,2018,4-year,36,25,11,0.694444444
18,1,E,corn,C4,conv,0,0,18.532,0,0,2018,4-year,14,10,4,0.714285714
19,1,W,soybean,S2,low,83,589.7,18.532,31.82063458,4.478739478,2018,2-year,101,49,52,0.485148515
19,1,E,soybean,S2,conv,30,1723.27,18.532,92.98888409,1.618821498,2018,2-year,100,40,60,0.4
21,2,W,alfalfa,A4,low,2,0.06,2,0.03,1,2018,4-year,67,51,16,0.76119403
21,2,E,alfalfa,A4,conv,1,0.18,2,0.09,0.5,2018,4-year,80,32,48,0.4
22,2,W,oat,O4,conv,23,43.2,2,21.6,11.5,2018,4-year,104,88,16,0.846153846
22,2,E,oat,O4,low,56,107.86,2,53.93,28,2018,4-year,101,63,38,0.623762376
23,2,W,soybean,S3,conv,5,73.85,18.532,3.984998921,0.269803583,2018,3-year,101,51,50,0.504950495
23,2,E,soybean,S3,low,4,100.48,18.532,5.421972804,0.215842866,2018,3-year,101,58,43,0.574257426
24,2,W,corn,C2,low,1,0.08,18.532,0.004316857,0.053960717,2018,2-year,79,50,29,0.632911392
24,2,E,corn,C2,conv,0,0,18.532,0,0,2018,2-year,48,35,13,0.729166667
25,2,W,oat,O3,low,14,50.55,2,25.275,7,2018,3-year,102,80,22,0.784313725
25,2,E,oat,O3,conv,55,18.71,2,9.355,27.5,2018,3-year,102,81,21,0.794117647
26,2,W,corn,C3,conv,0,0,18.532,0,0,2018,3-year,12,6,6,0.5
26,2,E,corn,C3,low,1,0.02,18.532,0.001079214,0.053960717,2018,3-year,16,13,3,0.8125
27,2,W,soybean,S2,conv,7,71.23,18.532,3.843621843,0.377725016,2018,2-year,102,44,58,0.431372549
27,2,E,soybean,S2,low,8,128.33,18.532,6.924778761,0.431685733,2018,2-year,101,56,45,0.554455446
28,2,W,corn,C4,conv,0,0,18.532,0,0,2018,4-year,13,8,5,0.615384615
28,2,E,corn,C4,low,2,0.02,18.532,0.001079214,0.107921433,2018,4-year,41,21,20,0.512195122
29,2,W,soybean,S4,conv,13,451.52,18.532,24.36434276,0.701489316,2018,4-year,100,57,43,0.57
29,2,E,soybean,S4,low,11,51.05,18.532,2.754694582,0.593567883,2018,4-year,100,46,54,0.46
31,3,W,alfalfa,A4,conv,6,0.81,2,0.405,3,2018,4-year,28,18,10,0.642857143
31,3,E,alfalfa,A4,low,8,8.77,2,4.385,4,2018,4-year,26,12,14,0.461538462
32,3,W,soybean,S4,low,5,227.13,18.532,12.25609756,0.269803583,2018,4-year,101,62,39,0.613861386
32,3,E,soybean,S4,conv,8,64.86,18.532,3.499892079,0.431685733,2018,4-year,100,54,46,0.54
33,3,W,oat,O3,low,60,37.99,2,18.995,30,2018,3-year,112,93,19,0.830357143
33,3,E,oat,O3,conv,65,69.31,2,34.655,32.5,2018,3-year,106,90,16,0.849056604
34,3,W,corn,C2,low,2,1.66,18.532,0.08957479,0.107921433,2018,2-year,30,26,4,0.866666667
34,3,E,corn,C2,conv,6,4.07,18.532,0.219620117,0.3237643,2018,2-year,100,76,24,0.76
35,3,W,soybean,S2,low,2,122.43,18.532,6.606410533,0.107921433,2018,2-year,102,61,41,0.598039216
35,3,E,soybean,S2,conv,4,481.82,18.532,25.99935247,0.215842866,2018,2-year,110,80,30,0.727272727
36,3,W,corn,C3,low,1,0.01,18.532,0.000539607,0.053960717,2018,3-year,37,27,10,0.72972973
36,3,E,corn,C3,conv,1,0.17,18.532,0.009173322,0.053960717,2018,3-year,3,3,0,1
37,3,W,corn,C4,low,1,0.04,18.532,0.002158429,0.053960717,2018,4-year,33,21,12,0.636363636
37,3,E,corn,C4,conv,1,0.28,18.532,0.015109001,0.053960717,2018,4-year,14,11,3,0.785714286
38,3,W,soybean,S3,conv,7,316.72,18.532,17.09043816,0.377725016,2018,3-year,100,60,40,0.6
38,3,E,soybean,S3,low,9,498.21,18.532,26.88376862,0.485646449,2018,3-year,100,56,44,0.56
39,3,W,oat,O4,low,61,60.57,2,30.285,30.5,2018,4-year,103,68,35,0.660194175
39,3,E,oat,O4,conv,9,20.44,2,10.22,4.5,2018,4-year,100,61,39,0.61
41,4,W,oat,O4,low,29,37.35,2,18.675,14.5,2018,4-year,106,83,23,0.783018868
41,4,E,oat,O4,conv,20,48.31,2,24.155,10,2018,4-year,104,85,19,0.817307692
42,4,W,oat,O3,conv,36,44.74,2,22.37,18,2018,3-year,105,67,38,0.638095238
42,4,E,oat,O3,low,110,82.81,2,41.405,55,2018,3-year,109,85,24,0.779816514
43,4,W,alfalfa,A4,conv,0,0,2,0,0,2018,4-year,0,0,0,NA
43,4,E,alfalfa,A4,low,0,0,2,0,0,2018,4-year,5,3,2,0.6
44,4,W,corn,C2,conv,18,53.31,18.532,2.876645802,0.971292899,2018,2-year,103,61,42,0.59223301
44,4,E,corn,C2,low,0,0,18.532,0,0,2018,2-year,32,23,9,0.71875
45,4,W,soybean,S2,low,10,987.35,18.532,53.27811353,0.539607166,2018,2-year,100,44,56,0.44
45,4,E,soybean,S2,conv,7,784.55,18.532,42.33488021,0.377725016,2018,2-year,100,68,32,0.68
46,4,W,corn,C4,low,5,0.01,18.532,0.000539607,0.269803583,2018,4-year,21,17,4,0.80952381
46,4,E,corn,C4,conv,0,0,18.532,0,0,2018,4-year,1,1,0,1
47,4,W,corn,C3,conv,0,0,18.532,0,0,2018,3-year,3,3,0,1
47,4,E,corn,C3,low,4,0.23,18.532,0.012410965,0.215842866,2018,3-year,32,23,9,0.71875
48,4,W,soybean,S3,low,3,246.37,18.532,13.29430175,0.16188215,2018,3-year,101,54,47,0.534653465
48,4,E,soybean,S3,conv,27,923.19,18.532,49.81599396,1.456939348,2018,3-year,100,52,48,0.52
49,4,W,soybean,S4,low,9,240.01,18.532,12.95111159,0.485646449,2018,4-year,98,60,38,0.612244898
49,4,E,soybean,S4,conv,5,258.12,18.532,13.92834017,0.269803583,2018,4-year,100,58,42,0.58